Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Distance,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
ELEC,GGMC Parking - Tesla,280 Broadway,,New York,NY,10007,,212-566-2247  877-798-3752,E,,Public,24 hours daily; for Tesla use only; see valet for access,,,,,,2,,,Tesla,http://www.teslamotors.com/supercharger,200-8,40.7142981,-74.0058132,2016-04-04,74427,0.10471,2017-01-18 00:53:47 UTC,P,,,2016-01-01,,,,,TESLA
ELEC,CARCHARGING,25 Beekman St,RAPID PARKING 1; See Valet attendant to use charging station.,New York,NY,10038,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.7106361,-74.0061951,2017-02-24,47395,0.14879,2017-02-24 10:18:56 UTC,,,,,,,,,NEMA520 J1772
ELEC,BEAM CHARGING,75 Park Place,"75 PARK PLACE; Enter parking garage by West Broadway, between Murray St and Park Place. See valet attendant to use charging station.",New York,NY,10007,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.7142163,-74.0106122,2017-02-24,53121,0.26442,2017-02-24 10:06:23 UTC,,,,,,,,,J1772
ELEC,Icon Parking - Tesla,238 Pearl St,,New York,NY,10063,,212-227-2215  877-798-3752,E,,Public,24 hours daily; for Tesla use only; see valet for access,,,,,,2,,,Tesla,http://www.teslamotors.com/supercharger,200-8,40.7076664,-74.004679,2016-09-02,78086,0.35927,2017-01-18 01:40:53 UTC,P,,,2016-08-15,,,,,TESLA
ELEC,SP+ - 200 Chambers Street Garage,200 Chambers Street,,New York,NY,10007,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,40.7163,-74.01258,2017-02-24,77429,0.42469,2017-02-24 08:15:50 UTC,,,,,,,,,J1772
ELEC,Icon Parking - Tesla,308 Greenwich St,,New York,NY,10013,,212-227-6940  877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,,,2,,,Tesla,http://www.teslamotors.com/supercharger,200-8,40.7175682,-74.0110423,2016-06-03,75759,0.42511,2017-01-18 01:37:19 UTC,P,,,2016-05-01,,,,,TESLA
ELEC,ParkIt - Tesla,27 N Moore St,,New York,NY,10013,,212-929-9404  877-798-3752,E,,Public,24 hours daily; for Tesla use only; see valet for access,,,,,,2,,,Tesla,http://www.teslamotors.com/supercharger,200-8,40.7199913,-74.0074134,2016-04-04,74451,0.50331,2017-01-18 00:54:33 UTC,P,,,2016-01-01,,,,,TESLA
ELEC,Brookfield,250 Vesey St,,New York,NY,10281,,888-751-8560  917-482-5630,E,,Public,24 hours daily,,,,,,2,,,Greenlots,http://greenlots.com/,GPS,40.7141805,-74.0155676999999,2017-02-01,81153,0.51454,2017-02-01 20:06:12 UTC,P,,,2016-08-15,,,,,J1772
ELEC,iPark - Tesla,75 Wall St,,New York,NY,10005,,855-472-7569  877-798-3752,E,,Public,24 hours daily; for Tesla use only; see valet for access,,,,,,2,,,Tesla,http://www.teslamotors.com/supercharger,200-9,40.7051404,-74.0079954,2016-04-04,74540,0.53832,2017-01-18 00:54:03 UTC,P,,,2016-02-01,,,,,TESLA
ELEC,Andaz Wall Street - Tesla,75 Wall St,,New York,NY,10005,,212-590-1234  877-798-3752,E,,Public,24 hours daily; for Tesla use only; for guest use only; see valet for access,,,,,,1,,,Tesla,http://www.teslamotors.com/supercharger,200-9,40.7051404,-74.0079954,2016-04-04,74413,0.53832,2017-01-18 02:34:59 UTC,P,,,2016-01-01,,,,,TESLA
ELEC,Icon Parking - Patriot Parking,376 Greenwich Street,,New York,NY,10013,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,1,,,Blink Network,http://www.blinknetwork.com/,GPS,40.719909,-74.010274,2017-02-24,65776,0.54174,2017-02-24 08:08:53 UTC,,,,,,,,,J1772
ELEC,CARCHARGING,325 North End Ave,TRIBECA GREEN 1; See valet attendant to use charging station,New York,NY,10282,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.71695,-74.014948,2017-02-24,53451,0.55342,2017-02-24 10:08:07 UTC,,,,,,,,,J1772
